"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Brontops",,"Brontotheriidae","Perissodactyla","Mammalia",,"Animalia",,0,0,,1
"Brontotherium","Brontotherium","Brontotheriidae","Perissodactyla","Mammalia","Chordata","Animalia","Wikipedia",0,1,,0
"Brookesia","Brookesia","Chamaeleonidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Brookvalia",,,"REDFIELDIID","ACTINOPTERYGIAN","Chordata","Animalia",,0,0,,1
"Broomia",,,"MILLERETTID","PARAREPTILE",,"Animalia",,0,0,,1
"Brosme","Brosme","Gadidae","Gadiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brosmiculus","Gadella","Moridae","Gadiformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"Brosmius","Brosme","Lotidae","Gadiformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Brosmophycis","Brosmophycis","Bythitidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brotia",,"MELANIIDAE","MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Brotogeris","Brotogeris","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Brotogerys","Brotogeris","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Brotogorys","Brotogeris","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Brotophaga","Crotophaga","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Brotula","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brotulataenia","Brotulotaenia","Ophidiidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",1,1,,0
"Brotulidae",,"Brotulidae","Ophidiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Brouffia",,,,"BASAL AMNIOTE",,"Animalia",,0,0,,1
"Bruchigavia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bruehnopteron",,"Tristichopteridae","Sarcopterygii","Osteichthyes",,"Animalia",,0,0,,1
"Brunhilda",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bryaninops","Bryaninops","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bryantolepis",,"Actinolepidae","Arthrodira","Placodermi",,"Animalia",,0,0,,1
"Brycinus","Brycinus","Alestiidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brycon","Brycon","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bryconaethiops","Bryconaethiops","Alestiidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bryconalestes","Brycinus","Alestidae","Characiformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus is a synonym.",0
"Bryconamericus","Bryconamericus","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bryconops","Bryconops","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bryostemma",,"Pholididae","Perciformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus split.",0
"Bryozoichthys","Bryozoichthys","Stichaeidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bryx","Bryx","Syngnathidae","Gasterosteiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Buanemon","Buarremon","Emberizidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buarremon","Buarremon","Emberizidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bub","Bubo","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buba","Bubo","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bubabornis","Bubalornis","Ploceidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bubalichthys","Ictiobus","Catostomidae","Cypriniformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Bubalis","Bubalus","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus misspelled.",0
"Bubalornis","Bubalornis","Ploceidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"BUBALUS","Bubalus","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bubo","Bubo","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bubodcus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bubovir",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bubs","Bubo","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bubsvir",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bubulcus","Bubulcus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bubuleus","Bubulcus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bucanetes","Bucanetes","Fringillidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buccanobom","Buccanodon","Ramphastidae","Piciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buccanodon","Buccanodon","Ramphastidae","Piciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buccinum",,,"MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bucco","Bucco","Bucconidae","Galbuliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bucco (Nystactes)","Bucco","Bucconidae","Galbuliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Buceo (Hypnelus)","Bucco","Bucconidae","Galbuliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Buceo (Mystalus)","Bucco","Bucconidae","Galbuliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Bucephala","Bucephala","Anatidae","Anseriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buceros","Buceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bucerotidae",,"Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",0
"Buchanga",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buchangaceruliscus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buchanza",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bucia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bucorvus","Bucorvus","Bucorvidae","Bucerotiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bucrates","Bucrates","Tettigoniidae","Orthoptera","Insecta","Arthropoda","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Budorcas","Budorcas","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Budyks",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Budytes","Motacilla","Motacillidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Buelophus","Baeolophus","Paridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buenemon",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buergeria","Buergeria","Rhacophoridae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Bueto","Buteo","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buettikoferella","Buettikoferella","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buettikoferia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buettneria",,"TREMATOSAUROID","STEREOSPONDYL",,,"Animalia",,0,0,,1
"Buff",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buffelhead",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
"BUFO","Bufo","Bufonidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Bufoceratias","Bufoceratias","Diceratiidae","Lophiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bufonidae",,"Bufonidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2013-01-03",0,1,"Genus is a family.",0
"Bugeranus","Bugeranus","Gruidae","Gruiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bugula",,"BICELLARIIDAE","CHEILOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"Buisnictis",,"Mustelidae","Carnivora","Mammalia",,"Animalia",,0,0,,1
"Bujurquina","Bujurquina","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bulbius",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"BULBUL",,"Pycnonotidae","Passeriformes","Aves","Chordata","Animalia",,0,1,"Genus is a common family name.",0
"Bulbulcus","Bubulcus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bulbulcus[illeg]","Bubulcus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bulbuleus","Bubulcus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bulestes",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bulimulus",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bulimus",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bulinus",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bulla",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bulo","Bubo","Strigidae","Strigiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Bulungamaya",,"Potoroidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Bulweia","Bulweria","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bulweria","Bulweria","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bulweria (Pterodroma)","Pterodroma","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bulweris","Bulweria","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bulwiria","Bulweria","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"BUNGARUS","Bungarus","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bunobrontops",,"Brontotheriidae","Perissodactyla","Mammalia",,"Animalia",,0,0,,1
"Bunocephalus","Bunocephalus","Aspredinidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bunodeopsis",,"ALICIIDAE","ACTINIARIA","ACTINOZOA","COELENTERATA","Animalia",,0,0,,1
"Bunodes",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Bunohyrax",,"Pliohyracidae","Hyracoidea","Mammalia",,"Animalia",,0,0,,1
"Bunolagus","Bunolagus","Leporidae","Lagomorpha","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bunomys","Bunomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bunophorus",,"Dichobunidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"BUNOPUS","Bunopus","Gekkonidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Buphaga","Buphagus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buphagus","Buphagus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buphgus","Buphagus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Burhinops",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Burhinus","Burhinus","Burhinidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Burmemys",,"Carettochelyidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"Burmesia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Burnesia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Burnetia",,"Burnetiidae","Therapsida","Reptilia",,"Animalia",,0,0,,1
"Burnhinops",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Burnieria","Bernieria","Sylviidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Burnugria",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Burramys",,"Burramyidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Bursa",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Burtoa",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Busarella","Busarellus","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Busarellus","Busarellus","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"BUSH CRICKET",,,,"Insecta","Arthropoda","Animalia",,0,1,"Genus is a common name.",1
"BUSHTIT",,"Aegithalidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a common name.",0
"Bustard",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
"Butalis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Butarides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Butaster","Butastur","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butastes","Butastur","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butastur","Butastur","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buteo","Buteo","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buteo (large)","Buteo","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Not a genus.",0
"Buteogallus","Buteogallus","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buteroides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butes","Butastur","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buthraupis","Buthraupis","Thraupidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Buthus",,"BUTHIDAE",,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"Butis","Butis","Eleotridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Butlikoferella",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buto","Butastur","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butoides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butonides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butorides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Butoroides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Butreron","Treron","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Butteo","Butastur","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Buttikoferia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Büttikoferia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Buturides","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Bycanistes","Bycanistes","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bylocichla","Hylocichla","Turdidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Byphagus","Buphagus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Bythinella",,"HYDROBIIDAE","MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bythites","Bythites","Bythitidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bythitidae",,"Bythitidae","Ophidiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Bythocaris",,"Hippolytidae","MACRURA (CARIDEA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"C",,,,,,,,0,1,"Not a genus.",0
"C.",,,,,,,,0,1,"Not a genus.",0
"C.f. arborimus",,"Cricetidae","Rodentia","Mammalia",,"Animalia",,0,0,,1
"C.f. scapanus",,"Talpidae","Lipotyphla","Mammalia",,"Animalia",,0,0,,1
"C[illeg]l[illeg]ens[illeg]",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"C[illeg]l[illeg]moterpe",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"C[illeg]ophloeus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Cabalus","Gallirallus","Rallidae","Gruiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"CABASSOUS","Cabassous","Dasypodidae","Cingulata","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Caberea",,"CELLULARIDAE","CHEILOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"Cabillus","Cabillus","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Cacajao","Cacajao","Pitheciidae","Primates","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"CACAJOA","Cacajao","Pitheciidae","Primates","Mammalia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Cacatoes",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Cacatua","Cacatua","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Cacatus","Cacatua","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Caccabis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Caccyzus","Coccyzus","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Cachyprora",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Cacicus","Cacicus","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Cacicus or Cassicus [illeg.]","Cacicus","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Not a genus.",0
"Cacius","Cacicus","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Cacomantis","Cacomantis","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Cacomentis","Cacomantis","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"CACOPHIS","Cacophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Cacops",,,"DISSOROPHID",,,"Animalia",,0,0,,1
"Cacosternum","Cacosternum","Pyxicephalidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Cacotua","Cacatua","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Cactornis","Cactornis","Rallidae","Gruiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",1,1,,0
"Cactospiza","Camarhynchus","Emberizidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Caculus","Cuculus","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Cacutua","Cacatua","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"CADEA","Amphisbaena","Amphisbaenidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Cadulus",,"gadilidae",,"SCAPHOPODA","MOLLUSCA","Animalia",,0,0,,1
"Caeatua","Cacatua","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Caecilia","Caecilia","Caeciliidae","Gymnophiona","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Caecilid",,"Caeciliidae","Gymnophiona","Amphibia","Chordata","Animalia",,0,1,"Genus is a common family name.",0
"Caecillian",,"Caeciliidae","Gymnophiona","Amphibia","Chordata","Animalia",,0,1,"Genus is a family.",0
"Caecomastacembelus","Caecomastacembelus","Mastacembelidae","Synbranchiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
